name;division;region;city
Abong-Mbang;Haut-Nyong;Est;Abong-Mbang
Afanloum;Mefou-et-Afamba;Centre;Afanloum
Ako;Donga-Mantung;Nord-Ouest;Ako
Akoeman;Nyong-et-So'o;Centre;Akoeman
Akom II;Ocean;Sud;Akom II
Akono;Mefou-et-Akono;Centre;Akono
Akonolinga;Nyong-et-Mfoumou;Centre;Akonolinga
Akwaya;Manyu;Sud-Ouest;Akwaya
Alou;Lebialem;Sud-Ouest;Alou
Ambam;Vallee-du-Ntem;Sud;Ambam
Andek;Momo;Nord-Ouest;Andek
Angossas;Haut-Nyong;Est;Angossas
Atok;Haut-Nyong;Est;Atok
Awae;Mefou-et-Afamba;Centre;Awae
Ayos;Nyong-et-Mfoumou;Centre;Ayos
Babadjou;Bamboutos;Ouest;Babadjou
Babessi;Ngo-Ketunjia;Nord-Ouest;Babessi
Bafang;Haut-Nkam;Ouest;Bafang
Bafia;Mbam-et-Inoubou;Centre;Bafia
Bafoussam Ier;Mifi;Ouest;Bafoussam
Bafoussam IIe;Mifi;Ouest;Bafoussam
Bafoussam IIIe;Mifi;Ouest;Bafoussam
Bafut;Mezam;Nord-Ouest;Bafut
Baham;Hauts-Plateaux;Ouest;Baham
Bakou;Haut-Nkam;Ouest;Bakou
Bali;Mezam;Nord-Ouest;Bali
Balikumbat;Ngo-Ketunjia;Nord-Ouest;Balikumbat
Bamenda Ier;Mezam;Nord-Ouest;Bamenda
Bamenda IIe;Mezam;Nord-Ouest;Bamenda
Bamenda IIIe;Mezam;Nord-Ouest;Bamenda
Bamendjou;Hauts-Plateaux;Ouest;Bamendjou
Bamusso;Ndian;Sud-Ouest;Bamusso
Bana;Haut-Nkam;Ouest;Bana
Bandja;Haut-Nkam;Ouest;Bandja
Bandjoun;Koung-Khi;Ouest;Bandjoun
Bangangte;Nde;Ouest;Bangangte
Bangem;Koupe-Manengouba;Sud-Ouest;Bangem
Banka;Haut-Nkam;Ouest;Banka
Bangou;Hauts-Plateaux;Ouest;Bangou
Bangourain;Noun;Ouest;Bangourain
Bankim;Mayo-Banyo;Adamaoua;Bankim
Banwa;Haut-Nkam;Ouest;Banwa
Banyo;Mayo-Banyo;Adamaoua;Banyo
